layer,head,cluster,validation_cluster,split_agree,cluster_margin,pf_official,legacy_v98,forcing_kv,head_forcing,dummy_forcing
8,0,1,1,1,0.6215216947794779,-1,10,static,memory,dummy
8,1,1,1,1,0.3246074418994266,-1,10,static,memory,context
8,2,1,1,1,0.4089027092071248,-1,10,static,anchor,context
8,3,1,1,1,0.5615749495373491,-1,10,static,memory,dummy
8,4,1,1,1,0.4601997332781082,2,11,static,local,dummy
8,5,1,1,1,0.5059364968814302,-1,10,static,local,dummy
8,6,0,0,1,0.6746991102547099,1,10,dynamic,anchor,context
8,7,1,1,1,0.24613207949997204,-1,10,dynamic,anchor,context
8,8,1,1,1,0.08965708958432715,1,10,dynamic,anchor,context
8,9,1,1,1,0.45030459051492877,1,10,dynamic,anchor,context
8,10,1,1,1,0.5221220341901609,2,11,static,memory,dummy
8,11,1,1,1,0.4006461944325014,-1,10,static,local,dummy
9,0,1,1,1,0.6659809230789571,-1,10,static,memory,context
9,1,1,1,1,0.270007293254195,1,10,dynamic,anchor,context
9,2,1,1,1,0.35022465108106954,-1,10,dynamic,memory,context
9,3,1,1,1,0.22794776384095317,2,11,static,memory,context
9,4,1,1,1,0.5188595211524357,-1,10,static,local,dummy
9,5,1,1,1,0.2071471296197759,1,10,dynamic,anchor,context
9,6,1,1,1,0.25021976522037565,2,11,dynamic,memory,context
9,7,1,1,1,0.14880197725207892,1,10,static,memory,context
9,8,1,1,1,0.33311630895766736,-1,10,static,memory,context
9,9,1,1,1,0.4524436341548087,-1,10,static,memory,context
9,10,1,1,1,0.05536149630213169,-1,10,static,memory,context
9,11,1,1,1,0.23971122970280165,1,10,dynamic,anchor,context
10,0,1,1,1,0.16838837836567644,-1,10,static,memory,context
10,1,2,2,1,0.5789743529121222,1,10,dynamic,memory,context
10,2,2,2,1,0.4622682875881232,1,10,dynamic,memory,context
10,3,1,1,1,0.1278503789618746,1,10,static,memory,context
10,4,2,2,1,0.24692464697630784,1,10,dynamic,anchor,context
10,5,2,2,1,0.34942761369135733,1,10,dynamic,memory,context
10,6,1,1,1,0.22853755627262282,1,10,dynamic,memory,context
10,7,1,1,1,0.2703757247968005,1,10,dynamic,anchor,context
10,8,1,0,0,0.03218880851560853,-1,10,dynamic,anchor,context
10,9,1,1,1,0.4777316338592208,-1,11,static,memory,dummy
10,10,2,2,1,0.30999959342879774,1,10,dynamic,memory,context
10,11,1,1,1,0.20834763624025485,2,11,static,memory,context
11,0,2,2,1,0.3242470004817837,1,10,dynamic,memory,context
11,1,1,1,1,0.12464569759959841,2,11,dynamic,memory,context
11,2,1,1,1,0.0901040334950604,-1,10,static,memory,context
11,3,1,1,1,0.32954078240422335,-1,10,static,memory,context
11,4,1,1,1,0.1895665101893794,-1,10,static,local,dummy
11,5,1,1,1,0.10765893623582437,1,10,dynamic,memory,context
11,6,2,2,1,0.32223748543765984,1,10,dynamic,memory,context
11,7,2,2,1,0.2711155184537596,1,10,dynamic,memory,context
11,8,1,1,1,0.19003458010676078,1,10,dynamic,anchor,context
11,9,1,1,1,0.33885710812685443,2,11,static,memory,dummy
11,10,1,1,1,0.03514092718531818,1,10,dynamic,anchor,context
11,11,2,2,1,0.2809860706661864,1,10,dynamic,anchor,context
12,0,2,2,1,0.3137528427027136,-1,10,static,memory,dummy
12,1,2,2,1,0.4140763535021353,1,10,dynamic,memory,context
12,2,1,1,1,0.2957572700926429,2,11,static,memory,dummy
12,3,1,1,1,0.3834384196101978,-1,10,static,anchor,context
