layer,head,reverse_relative_log_category_count,reverse_relative_log_dominant_category,reverse_relative_log_dominant_value,reverse_relative_log_range,reverse_relative_log_std,reverse_relative_log_positive_fraction,reverse_relative_log_absolute_entropy,freeze_latest_relative_log_category_count,freeze_latest_relative_log_dominant_category,freeze_latest_relative_log_dominant_value,freeze_latest_relative_log_range,freeze_latest_relative_log_std,freeze_latest_relative_log_positive_fraction,freeze_latest_relative_log_absolute_entropy,history_specificity_category_count,history_specificity_dominant_category,history_specificity_dominant_value,history_specificity_range,history_specificity_std,history_specificity_positive_fraction,history_specificity_absolute_entropy
0,0,3,clean:0,-0.8321187250240702,0.16992203851337506,0.07702764438630715,0.0,0.9949536727099848,3,noisy:1000,-0.28127082568985595,0.09668982495562367,0.041635209851192644,0.0,0.9859997420614063,3,noisy:500,-0.07209508121013641,0.009955719113349915,0.004249054349538051,0.0,0.9982005258017593
0,1,3,noisy:1000,-2.4097530123070587,1.541449053063004,0.6398612093600076,0.0,0.9314798050401947,3,noisy:500,-0.24919831923853591,0.09901577222205563,0.04618244075330057,0.0,0.9777538087557186,3,noisy:1000,-0.010658830404281616,0.0044976770877838135,0.001898399388741778,0.0,0.977529943973861
0,2,3,clean:0,-2.8984583293171475,0.25143989157560487,0.11076554168319515,0.0,0.9992641985758949,3,noisy:1000,-0.07553033237720883,0.04330322003551574,0.01999551268698412,0.0,0.9445730708637221,3,noisy:500,-0.1389116421341896,0.01991885155439377,0.008358909921801569,0.0,0.9981073555506146
0,3,3,clean:0,-4.8733477228318005,0.8429362542341758,0.35448118984944266,0.0,0.9970677261892071,3,noisy:1000,0.022063483314542484,0.008245491967797598,0.003446076310642088,1.0,0.9825248628955688,3,clean:0,-0.1873503252863884,0.009089089930057526,0.0037741721415460415,0.0,0.999805444073539
0,4,3,clean:0,-0.4923736008363913,0.06707803582456101,0.027524288258083358,0.0,0.9983536870096574,3,clean:0,-0.03318435044330027,0.0108761702044861,0.004624685454068774,0.0,0.9867993099089329,3,clean:0,-0.009039640426635742,0.0021104812622070312,0.0009074064156745724,0.0,0.9942694085845256
0,5,3,noisy:1000,-0.4026407651420091,0.03942846640389874,0.017223648913652266,0.0,0.9990665326866586,3,noisy:1000,-0.03792228751245334,0.006593738631043289,0.002703534274162077,0.0,0.9972067691550247,3,noisy:1000,-0.012760043144226074,0.00844159722328186,0.0034465580193447547,0.0,0.922786119231894
0,6,3,clean:0,-1.6109438834363536,0.7589741859734707,0.3450868392599474,0.0,0.9592936722579223,3,clean:0,-0.26451520452475985,0.1299377466962768,0.05923710785741524,0.0,0.9538117823349763,3,noisy:1000,-0.04755142331123352,0.04305136203765869,0.017841994428533656,0.0,0.7713099394578873
0,7,3,clean:0,-2.383081616485322,0.4575072273956975,0.18683288527568906,0.0,0.9965756902485123,3,clean:0,-0.1135453098430704,0.06354621765221191,0.02814297801418056,0.0,0.9377858254099852,3,noisy:1000,-0.02130553126335144,0.040189117193222046,0.01673927810301409,0.3333333333333333,0.9375158919357238
0,8,3,clean:0,-5.300361834311918,0.7539419414944071,0.31429412258130784,0.0,0.9981255203828518,3,clean:0,0.034233665309167535,0.009551576697683112,0.004060100455942273,1.0,0.9910507213238001,3,noisy:1000,-0.13609930872917175,0.00804591178894043,0.003391618272907525,0.0,0.9997013026837619
0,9,3,noisy:1000,-1.4605291863673235,0.07619358526031217,0.03232696232223977,0.0,0.9997637708828055,3,noisy:1000,-0.08655976411058204,0.05816921856433979,0.023785145047862784,0.0,0.9196732688084112,3,noisy:500,-0.10938453301787376,0.006561260670423508,0.002948283113944812,0.0,0.9996449591430392
