axis,count,median,q25,q75,zero_positive,zero_non_positive,otsu_threshold,gmm2_threshold,gmm2_high,gmm2_low,bic1,bic2,bic3,bic1_minus_bic2,bic3_minus_bic2
reverse_relative_log,360,-1.87736814982738,-2.4484540468321354,-1.2265224879534409,0,360,-1.781318475340033,-1.0421606811814064,64,296,888.789861609583,891.0057291039132,903.0916572860955,-2.215867494330155,12.085928182182329
phase_shift_relative_log,360,-2.564980008740945,-3.250461084693341,-1.7732005121541918,0,360,-2.4704306816822674,-2.178421988531231,132,228,966.1384598942448,956.3916628850474,967.1826977458804,9.746797009197394,10.791034860833065
freeze_latest_relative_log,360,-0.10615662026864145,-0.1926474335385879,-0.03357570645900365,52,308,-0.14414684768439218,-0.5364283541805773,358,2,-404.4453679818137,-425.9171971495552,-425.991206349358,21.471829167741475,-0.07400919980278786
value_mismatch_relative_log,360,-0.861485982104735,-1.2859247226772998,-0.30931621403885456,29,331,-0.775996129530903,-0.662578012757838,137,223,712.3299946038271,724.0364801717932,725.1600069098188,-11.70648556796607,1.1235267380255891
history_specificity,360,0.009634509682655334,-0.013667136430740356,0.055460985749959946,201,159,0.032745227217674255,0.0009556585167153145,200,160,-1145.981440077151,-1219.1720416182156,-1215.5837077575482,73.19060154106455,3.5883338606674897
hard_history_specificity,360,0.06239047646522522,0.023568774573504925,0.11713242903351784,354,6,0.08467328548431396,0.04500146893818799,211,149,-1022.9529685492612,-1110.5344135860535,-1119.707407143175,87.58144503679227,-9.172993557121572
correct_margin,360,0.022700823843479156,0.017752818763256073,0.027911506593227386,360,0,0.026853926479816437,0.023777188219526728,155,205,-2328.5280712952863,-2310.869759150246,-2323.3167224016556,-17.658312145040327,-12.44696325140967
