clusters,feature_count,split_label_agreement,split_ari,discovery_silhouette,validation_silhouette,bootstrap_ari_median,bootstrap_ari_p10,minimum_cluster_fraction,boundary_fraction,passed
2,7,0.9722222222222222,0.5843178010004759,0.6642299708746953,0.5760376992092656,0.7642572697253469,0.022891669074633792,0.025,0.0,0
3,7,0.9305555555555556,0.78116653636526,0.30112487126339343,0.285833435360579,0.9003067634083485,0.7786493449748568,0.025,0.03333333333333333,0
4,7,0.8777777777777778,0.7024605694418377,0.29126603370047977,0.25446022980286465,0.897015288134293,0.7627524799616804,0.022222222222222223,0.013888888888888888,0
5,7,0.825,0.6064402286529708,0.24202386808524415,0.1861498987642396,0.8502306409241769,0.561018853007709,0.022222222222222223,0.030555555555555555,0
6,7,0.7972222222222223,0.5864001246864587,0.2312977595099153,0.1818747222018216,0.7690854683175694,0.6260160134589393,0.013888888888888888,0.027777777777777776,0
