probe_name,context,unit_count,selected_head_count,mean_x0_relative_rms,median_x0_relative_rms,mean_flow_relative_rms,mean_local_replacement_relative_rms
k_bottom_key_shift,noisy_t1000,64,90,0.09871157770976424,0.07532502338290215,0.07091914155171253,0.06923613802421945
k_bottom_key_shift,noisy_t500,64,90,0.05111446761293337,0.04626757465302944,0.04372221577796154,0.07284890773723116
k_bottom_recent4,noisy_t1000,64,90,0.1723364827921614,0.15109341591596603,0.12342443742090836,0.1549273016770409
k_bottom_recent4,noisy_t500,64,90,0.07606337498873472,0.07390942424535751,0.06489000507281162,0.14452911710832267
k_bottom_value_shift,noisy_t1000,64,90,0.100797270599287,0.08334580808877945,0.07217709938413464,0.07142736192260296
k_bottom_value_shift,noisy_t500,64,90,0.05204186786431819,0.046904806047677994,0.04451822303235531,0.07479572174094452
k_pfmatched_bottom_key_shift,noisy_t1000,64,30,0.05736519988568034,0.04333264194428921,0.0412101061665453,0.0682407395090498
k_pfmatched_bottom_key_shift,noisy_t500,64,30,0.028437484841560945,0.023646418936550617,0.02430030729738064,0.06943795630462167
k_pfmatched_top_key_shift,noisy_t1000,64,30,0.0823373099847231,0.05656355805695057,0.059473734712810256,0.1769497298327527
k_pfmatched_top_key_shift,noisy_t500,64,30,0.034825297276256606,0.030414841137826443,0.029905302173574455,0.17174199081928238
k_random0_key_shift,noisy_t1000,64,90,0.1066516384598799,0.07874716818332672,0.07704409136204049,0.10472187701549654
k_random0_key_shift,noisy_t500,64,90,0.05078129208413884,0.04434647224843502,0.04352824445231818,0.10627236616625546
k_random1_key_shift,noisy_t1000,64,90,0.14421250540181063,0.1209014281630516,0.10346228288835846,0.1203320731761778
k_random1_key_shift,noisy_t500,64,90,0.058863496931735426,0.049052292481064796,0.05035572621272877,0.12318079986689554
k_top_key_shift,noisy_t1000,64,90,0.18732637318316847,0.14621470868587494,0.13507642401964404,0.14186329478543486
k_top_key_shift,noisy_t500,64,90,0.07394144491991028,0.06560531258583069,0.06341882888227701,0.14018053356267046
k_top_recent4,noisy_t1000,64,90,0.2127169105806388,0.19397366791963577,0.15236179693602026,0.28908024488482625
k_top_recent4,noisy_t500,64,90,0.08591160888317972,0.08213615417480469,0.0732875996036455,0.24743605196126733
k_top_value_shift,noisy_t1000,64,90,0.18481671271729283,0.1411311775445938,0.13341381787904538,0.14171893377533706
k_top_value_shift,noisy_t500,64,90,0.07285065812175162,0.06399644538760185,0.06251159103703685,0.1390946992622048
native_replay,noisy_t1000,64,0,0.0,0.0,0.0,0.0
native_replay,noisy_t500,64,0,0.0,0.0,0.0,0.0
policy_bottom_key_shift,noisy_t1000,64,90,0.1208097958297003,0.08935440331697464,0.08728856340167113,0.09782247553193883
policy_bottom_key_shift,noisy_t500,64,90,0.0477427760779392,0.04274040646851063,0.041004903920111246,0.09938076987527893
policy_bottom_recent4,noisy_t1000,64,90,0.25078242720337585,0.21997971087694168,0.17874619632493705,0.2697171145797862
policy_bottom_recent4,noisy_t500,64,90,0.09960309026064351,0.09374699369072914,0.08479311072733253,0.21963614116393726
policy_bottom_value_shift,noisy_t1000,64,90,0.12392651839763857,0.09168596565723419,0.08952813720679842,0.09859245305766914
policy_bottom_value_shift,noisy_t500,64,90,0.04790528668672778,0.0418343972414732,0.04119386871752795,0.09916003570009099
policy_pfmatched_bottom_recent4,noisy_t1000,64,30,0.16267259424785152,0.13647714257240295,0.11650448548607528,0.26754556592059087
policy_pfmatched_bottom_recent4,noisy_t500,64,30,0.05959621904185042,0.05590662360191345,0.05071396875428036,0.2168219695512865
policy_pfmatched_top_recent4,noisy_t1000,64,30,0.1476210601394996,0.11673158407211304,0.1052027633995749,0.14790408485702455
policy_pfmatched_top_recent4,noisy_t500,64,30,0.04576664653723128,0.042268531396985054,0.038959022116614506,0.13056330112788905
policy_random0_recent4,noisy_t1000,64,90,0.185080767783802,0.16087090224027634,0.13291047746315598,0.23183224347740178
policy_random0_recent4,noisy_t500,64,90,0.07900977530516684,0.07343316078186035,0.06705279066227376,0.20820388968665307
policy_random1_recent4,noisy_t1000,64,90,0.25983564055059105,0.23416253924369812,0.18426060088677332,0.23933257288590537
policy_random1_recent4,noisy_t500,64,90,0.09746456163702533,0.08829080313444138,0.08325350377708673,0.21549437307888486
policy_top_key_shift,noisy_t1000,64,90,0.151240056642564,0.1145726852118969,0.1083864209940657,0.09825528264094222
policy_top_key_shift,noisy_t500,64,90,0.06731657666387036,0.059476930648088455,0.057615964964497834,0.103297251429467
policy_top_recent4,noisy_t1000,64,90,0.28122332773637027,0.2625994235277176,0.20104062638711184,0.17992295995888224
policy_top_recent4,noisy_t500,64,90,0.09951656375778839,0.09330465272068977,0.08446414215723053,0.17004305812442908
policy_top_value_shift,noisy_t1000,64,90,0.16008738795062527,0.11396665498614311,0.11486116374726407,0.09797140751494832
policy_top_value_shift,noisy_t500,64,90,0.06947915759519674,0.05915384739637375,0.05956302469712682,0.10265203635305321
v_bottom_key_shift,noisy_t1000,64,90,0.1316634039976634,0.10679085925221443,0.09480700502172112,0.09053680663128033
v_bottom_key_shift,noisy_t500,64,90,0.05391860628151335,0.04472263343632221,0.046216156595619395,0.09315009222724863
v_bottom_recent4,noisy_t1000,64,90,0.17631338705541566,0.1429140716791153,0.12588721804786474,0.23244584785134065
v_bottom_recent4,noisy_t500,64,90,0.08011157595319673,0.07299904525279999,0.06818115810165182,0.19724384678896362
v_bottom_value_shift,noisy_t1000,64,90,0.140251529723173,0.10244245454668999,0.10121663540485315,0.09069995232772878
v_bottom_value_shift,noisy_t500,64,90,0.05780435123597272,0.046717653051018715,0.04965787613764405,0.09266740791257083
v_pfmatched_bottom_value_shift,noisy_t1000,64,30,0.117241262429161,0.07355451583862305,0.08473283782950602,0.10488608730132304
v_pfmatched_bottom_value_shift,noisy_t500,64,30,0.043817155848955736,0.03193577751517296,0.03764033759944141,0.11500926463437888
v_pfmatched_top_value_shift,noisy_t1000,64,30,0.07022611075080931,0.05650019831955433,0.05032370194385294,0.1086183442977396
v_pfmatched_top_value_shift,noisy_t500,64,30,0.03171007525816094,0.026455102488398552,0.027167707099579275,0.11097199481033031
v_random0_value_shift,noisy_t1000,64,90,0.1389325343479868,0.10968326404690742,0.09992602898273617,0.11047695327336746
v_random0_value_shift,noisy_t500,64,90,0.05792255557025783,0.05423245579004288,0.049617811338976026,0.11192102512516916
v_random1_value_shift,noisy_t1000,64,90,0.11983517950284295,0.07822779566049576,0.086337471177103,0.11440306551327618
v_random1_value_shift,noisy_t500,64,90,0.04562432775855996,0.03882570192217827,0.039135094528319314,0.115275826597887
v_top_key_shift,noisy_t1000,64,90,0.13112487754551694,0.10218082740902901,0.09461542346980423,0.11420616358063854
v_top_key_shift,noisy_t500,64,90,0.06020832291687839,0.05412307381629944,0.05177948359050788,0.11762823894787289
v_top_recent4,noisy_t1000,64,90,0.19233881507534534,0.17845051735639572,0.1374830540153198,0.218766552383507
v_top_recent4,noisy_t500,64,90,0.08794473309535533,0.08555474132299423,0.07486913283355534,0.20248698232074577
v_top_value_shift,noisy_t1000,64,90,0.13874616078101099,0.11555374041199684,0.09983083338011056,0.11583264107127131
v_top_value_shift,noisy_t500,64,90,0.06192381659639068,0.05536733195185661,0.05320133891655132,0.11856768781854043
