layer,head,discovery_current_mass,validation_current_mass,discovery_global_sink1_mass,validation_global_sink1_mass,discovery_history_mean_logit,validation_history_mean_logit,discovery_history_positive_rate,validation_history_positive_rate,discovery_last4_mass,validation_last4_mass,discovery_middle_mass,validation_middle_mass,discovery_oldest1_mass,validation_oldest1_mass,discovery_recent4_mass,validation_recent4_mass,discovery_recent4_non_oldest_ratio,validation_recent4_non_oldest_ratio,dummy_forcing_label,dummy_forcing_vote_fraction,dummy_forcing_split_agree,forcing_kv_label,forcing_kv_vote_fraction,forcing_kv_split_agree,head_forcing_label,head_forcing_vote_fraction,head_forcing_split_agree,discovery_best_policy,validation_best_policy,split_label_agree,discovery_policy_need,validation_policy_need,modal_state_policy,modal_state_fraction,validation_static_regret,discovery_policy_margin,discovery_recent_budget_loss,validation_recent_budget_loss,discovery_boundary_recent_loss,validation_boundary_recent_loss,discovery_uniform_recent_loss,validation_uniform_recent_loss
0,0,0.45172119140625,0.4434814453125,0.0,0.0,0.36253250969780815,0.402878549363878,0.6388888888888888,0.6666666666666666,0.5401611328125,0.5343017578125,0.2728271484375,0.28216552734375,0.015645980834960938,0.015333175659179688,0.245880126953125,0.24847412109375,0.249786376953125,0.2528076171875,context,1.0,1,dynamic,1.0,1,memory,0.9921875,1,recent_budget,recent_budget,1,-0.02245183475315571,-0.027233588509261608,recent_budget,0.7005208333333334,0.0,0.21678291251050358,0.0824066549539566,0.0819682003930211,0.1234397143125534,0.12112550623714924,0.10485848970711231,0.10920178890228271
0,1,0.76904296875,0.7674560546875,0.0,0.0,0.7706052992078993,0.7833640575408936,0.75,0.7777777777777778,0.9013671875,0.896728515625,0.019727706909179688,0.020328521728515625,0.005198478698730469,0.0051326751708984375,0.195587158203125,0.197265625,0.1962890625,0.198028564453125,context,0.9453125,1,static,1.0,1,memory,1.0,1,boundary_recent,boundary_recent,1,0.002498324029147625,0.0017682129982858896,boundary_recent,0.7447916666666666,0.0,0.02320771479917994,0.016426243353635073,0.01586964586749673,0.013927919324487448,0.01410143286921084,0.01427315198816359,0.01453232578933239
0,2,0.221588134765625,0.21002197265625,0.0,0.0,0.12762535942925346,0.16632843017578125,0.8888888888888888,0.9444444444444444,0.267578125,0.2628173828125,0.4554443359375,0.457763671875,0.0572357177734375,0.05719757080078125,0.186065673828125,0.18817138671875,0.19647216796875,0.199005126953125,context,1.0,1,dynamic,1.0,1,anchor,0.9921875,1,boundary_recent,boundary_recent,1,0.025820661336183548,0.022357016801834106,boundary_recent,0.529296875,0.0,0.00915498934339603,0.1485926490277052,0.15187861397862434,0.12277198769152164,0.12952159717679024,0.12397844158113003,0.13234033063054085
0,3,0.15771484375,0.155609130859375,0.0,0.0,0.1194305419921875,0.1335980627271864,1.0,1.0,0.204376220703125,0.202972412109375,0.5135498046875,0.514404296875,0.04691314697265625,0.04665374755859375,0.193878173828125,0.19476318359375,0.203094482421875,0.20428466796875,context,1.0,1,dynamic,1.0,1,anchor,1.0,1,uniform_recent,uniform_recent,1,0.01736564002931118,0.008257800713181496,uniform_recent,0.4427083333333333,0.023820840531341043,0.07309514946346547,0.1258710976690054,0.12549114041030407,0.11706843227148056,0.12231543473899364,0.10850545763969421,0.11723333969712257
0,4,0.9615478515625,0.9613037109375,0.0,0.0,0.4529012044270833,0.4445376925998264,0.5555555555555556,0.5555555555555556,0.9801025390625,0.980224609375,0.005871772766113281,0.00574493408203125,0.0053558349609375,0.0054149627685546875,0.020679473876953125,0.0207672119140625,0.020748138427734375,0.020847320556640625,dummy,1.0,1,static,1.0,1,local,1.0,1,boundary_recent,boundary_recent,1,0.011139589478261769,0.011100661125965416,boundary_recent,0.75,0.0,0.7317243600555172,0.01543673244304955,0.015357651514932513,0.004297142964787781,0.004256990388967097,0.012049323180690408,0.011779905762523413
0,5,0.98193359375,0.981689453125,0.0,0.0,0.7816331651475694,0.7588450113932292,0.5555555555555556,0.5555555555555556,0.98876953125,0.988525390625,0.0038290023803710938,0.0037908554077148438,0.0026535987854003906,0.002678394317626953,0.00859832763671875,0.008768081665039062,0.008617401123046875,0.00878143310546875,dummy,1.0,1,static,1.0,1,local,1.0,1,boundary_recent,boundary_recent,1,0.007494760327972472,0.0074637337238527834,boundary_recent,0.76953125,0.0,0.6451667144543606,0.01121444534510374,0.010966608999297023,0.003719685017131269,0.0035028752754442394,0.008830374106764793,0.00890137325040996
0,6,0.92138671875,0.919677734375,0.0,0.0,0.644920375612047,0.612240685356988,0.5833333333333334,0.6111111111111112,0.9744873046875,0.97412109375,0.012340545654296875,0.012208938598632812,0.00507354736328125,0.005099296569824219,0.05513763427734375,0.05615997314453125,0.05535888671875,0.05640411376953125,dummy,0.96875,1,static,1.0,1,local,0.8203125,1,boundary_recent,boundary_recent,1,0.005369482329115272,0.006343696499243379,boundary_recent,0.6985677083333334,0.0,0.315936276598413,0.017709658248350024,0.018694387283176184,0.012340175919234753,0.012350690783932805,0.01732982718385756,0.017471038969233632
0,7,0.67578125,0.6766357421875,0.0,0.0,0.47400707668728304,0.4747076564364964,0.7777777777777778,0.7777777777777778,0.713623046875,0.7135009765625,0.14569091796875,0.145904541015625,0.017726898193359375,0.017498016357421875,0.12176513671875,0.122039794921875,0.124298095703125,0.12445068359375,context,0.953125,1,static,1.0,1,memory,1.0,1,boundary_recent,boundary_recent,1,0.05752221308648586,0.05673328600823879,boundary_recent,0.7018229166666666,0.0,0.22602178747267582,0.14129840023815632,0.1407686583697796,0.08377618715167046,0.0840353723615408,0.10894113034009933,0.10789779666811228
0,8,0.172760009765625,0.16998291015625,0.0,0.0,0.12946785820855033,0.14704725477430555,1.0,1.0,0.2197265625,0.21600341796875,0.503173828125,0.5042724609375,0.0475616455078125,0.0482177734375,0.189910888671875,0.19091796875,0.19921875,0.200225830078125,context,1.0,1,dynamic,1.0,1,anchor,0.9921875,1,uniform_recent,uniform_recent,1,0.029292721301317215,0.01746191456913948,boundary_recent,0.4388020833333333,0.03626528702808235,0.09147420362716328,0.1547216959297657,0.151029285043478,0.13818460330367088,0.1364189051091671,0.1254289746284485,0.13356737047433853
0,9,0.34014892578125,0.33782958984375,0.0,0.0,-0.1391196780734592,-0.12909486558702257,0.25,0.25,0.39202880859375,0.39129638671875,0.31689453125,0.31201171875,0.080780029296875,0.0799713134765625,0.17266845703125,0.1708984375,0.1893310546875,0.187469482421875,context,1.0,1,dynamic,1.0,1,anchor,0.9296875,1,boundary_recent,boundary_recent,1,0.09815103188157082,0.10628888756036758,boundary_recent,0.7747395833333334,0.0,0.03232326432903527,0.2640022933483124,0.2572076842188835,0.16585126146674156,0.15091879665851593,0.1723395437002182,0.1609010174870491
0,10,0.00048083066940307617,0.0005085468292236328,0.0,0.0,3.795216030544705,3.790065977308485,0.9444444444444444,0.9444444444444444,0.0009368658065795898,0.0009273290634155273,0.43817138671875,0.43548583984375,0.208648681640625,0.20703125,0.006199836730957031,0.00597381591796875,0.0076389312744140625,0.007659912109375,context,1.0,1,dynamic,1.0,1,anchor,1.0,1,boundary_recent,boundary_recent,1,0.1995095694437623,0.18719650711864233,boundary_recent,0.681640625,0.0,0.14687530721463873,0.2667335569858551,0.2525993809103966,0.0672239875420928,0.06540287379175425,0.08787631336599588,0.08619059901684523
0,11,0.937744140625,0.9361572265625,0.0,0.0,0.39403555128309464,0.40408070882161456,0.5555555555555556,0.5555555555555556,0.97802734375,0.97705078125,0.008645057678222656,0.009019851684570312,0.005076885223388672,0.005239963531494141,0.04582977294921875,0.04683685302734375,0.0460662841796875,0.04698944091796875,dummy,1.0,1,static,1.0,1,local,0.96875,1,boundary_recent,boundary_recent,1,0.011927070678211749,0.011835187673568726,boundary_recent,0.751953125,0.0,0.5273815645313629,0.02067454904317856,0.020422147819772363,0.00874747836496681,0.008586960146203637,0.01688860252033919,0.01649308716878295
1,0,0.862548828125,0.8682861328125,0.0,0.0,-0.0894622802734375,-0.11520348654852974,0.4444444444444444,0.4444444444444444,0.900634765625,0.902587890625,0.03952789306640625,0.0381011962890625,0.006537437438964844,0.006001472473144531,0.07172393798828125,0.07159423828125,0.07222747802734375,0.072021484375,dummy,0.96875,1,static,0.9765625,1,local,0.8359375,1,boundary_recent,boundary_recent,1,0.007326931692659855,0.005871301982551813,boundary_recent,0.529296875,0.0,0.15119291651589886,0.03530492493882775,0.032739412039518356,0.027977993246167898,0.026868110056966543,0.03282142523676157,0.02968883514404297
