layer,head,discovery_persistent_content,validation_persistent_content,discovery_persistent_content_A,validation_persistent_content_A,discovery_persistent_content_B,validation_persistent_content_B,discovery_persistent_content_noise,validation_persistent_content_noise,discovery_persistent_output,validation_persistent_output,discovery_persistent_output_A,validation_persistent_output_A,discovery_persistent_output_B,validation_persistent_output_B,discovery_persistent_output_noise,validation_persistent_output_noise,discovery_persistent_positioned,validation_persistent_positioned,discovery_persistent_positioned_A,validation_persistent_positioned_A,discovery_persistent_positioned_B,validation_persistent_positioned_B,discovery_persistent_positioned_noise,validation_persistent_positioned_noise,discovery_policy_prompt_score,validation_policy_prompt_score,discovery_policy_prompt_score_A,validation_policy_prompt_score_A,discovery_policy_prompt_score_B,validation_policy_prompt_score_B,discovery_prompt_history_excess,validation_prompt_history_excess,discovery_prompt_history_excess_A,validation_prompt_history_excess_A,discovery_prompt_history_excess_B,validation_prompt_history_excess_B,discovery_stale_a_mass,validation_stale_a_mass,discovery_stale_a_mass_A,validation_stale_a_mass_A,discovery_stale_a_mass_B,validation_stale_a_mass_B,discovery_stale_a_mass_B_visible,validation_stale_a_mass_B_visible
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3182356134057045,0.329929918050766,1.0,1.0,0.0,0.0,0.8328207954764366,0.8376288264989853
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10231544822454453,0.09908445551991463,1.0,1.0,0.0,0.0,0.6522525362670422,0.6519293896853924
0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4077013358473778,0.41341082006692886,1.0,1.0,0.0,0.0,0.9116987138986588,0.9183521419763565
0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.417482353746891,0.4152539521455765,1.0,1.0,0.0,0.0,0.9182802811264992,0.9159170836210251
0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46606893837451935,0.4681016206741333,1.0,1.0,0.0,0.0,0.976096011698246,0.9765606820583344
0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48112165927886963,0.477909579873085,1.0,1.0,0.0,0.0,0.986856609582901,0.9862966239452362
0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.377094067633152,0.37204620242118835,1.0,1.0,0.0,0.0,0.9176184087991714,0.9167355671525002
0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34009604901075363,0.35040363669395447,1.0,1.0,0.0,0.0,0.94010079652071,0.9439762979745865
0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4172821193933487,0.415435791015625,1.0,1.0,0.0,0.0,0.9184563905000687,0.9175904840230942
0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3998924121260643,0.4053359180688858,1.0,1.0,0.0,0.0,0.9032934010028839,0.9141241163015366
0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49844611436128616,0.49845481663942337,1.0,0.9999999701976776,0.0,0.0,0.9991033524274826,0.9989893138408661
0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.386712871491909,0.38468631356954575,1.0,1.0,0.0,0.0,0.9133222103118896,0.908733144402504
1,0,-0.0012919455766677856,-0.0006786733865737915,-0.0014310628175735474,-0.0006782859563827515,-0.0012236088514328003,-0.000650450587272644,0.0006793960928916931,0.0005668029189109802,0.005737423896789551,0.0001322031021118164,0.00801435112953186,0.0010297894477844238,0.005388051271438599,8.216500282287598e-05,0.001831289380788803,0.0019795820116996765,-0.0009497776627540588,-0.0004751831293106079,-0.00038105249404907227,-0.0003533363342285156,-0.0010698586702346802,-0.00036819279193878174,0.0008040480315685272,0.0011163130402565002,0.718774103129316,0.4891756710164275,0.7325521743685051,0.549420046921331,0.7652674575856754,0.45314198476213374,0.16334117203950882,0.1749890223145485,0.005380347371101379,-0.08924628421664238,0.21197997778654099,0.22388868033885956,0.2376328483223915,0.23607300221920013,1.0,1.0,0.0,0.0,0.8836418092250824,0.8707643821835518
1,1,0.00012186914682388306,0.0008670762181282043,0.0002831965684890747,-6.888806819915771e-05,7.018446922302246e-05,0.000901535153388977,0.0010253190994262695,0.0014289133250713348,0.0011750683188438416,0.003696724772453308,0.0015555918216705322,0.0009960979223251343,0.00086250901222229,0.003977298736572266,0.003592628985643387,0.0042815618216991425,-0.00016188248991966248,0.0001377314329147339,-0.00012251734733581543,-0.0005084872245788574,-0.00021529942750930786,0.0003568977117538452,0.001544000580906868,0.0015967190265655518,0.3045167090302595,0.3569629533417856,0.18047456404668008,0.3046757699779936,0.2842274917492899,0.34264569805148404,-0.09899059869349003,0.08688988909125328,-0.04959116876125336,0.15493624657392502,-0.10459878668189049,0.01992170512676239,0.49910029768943787,0.49930521100759506,1.0,1.0,0.0,0.0,0.9998857825994492,0.9998554363846779
