axis,grouping,left,right,spearman,sign_agreement,top25_jaccard,median_absolute_delta
prompt_history_excess,switch_type,identity_scene,scene_action,0.7754354810540697,0.775,0.5789473684210527,0.05279164435341954
policy_prompt_score,switch_type,identity_scene,scene_action,0.9039842193041391,0.9833333333333333,0.5929203539823009,0.06965899139046794
stale_a_mass,switch_type,identity_scene,scene_action,0.9978310017824211,1.0,0.9565217391304348,0.0021801143884658813
persistent_content,switch_type,identity_scene,scene_action,0.8751984640262089,0.8638888888888889,0.6363636363636364,0.00011654943227767944
persistent_positioned,switch_type,identity_scene,scene_action,0.8759175032683765,0.825,0.6822429906542056,0.00011413916945457458
persistent_output,switch_type,identity_scene,scene_action,0.754453580367645,0.8555555555555555,0.5929203539823009,0.0003365129232406616
prompt_history_excess,episode,A,B,0.5332940483205657,0.6777777777777778,0.37404580152671757,0.09342196211218834
policy_prompt_score,episode,A,B,0.7557945546413539,0.9722222222222222,0.44,0.10324557442126134
persistent_content,episode,A,B,0.7326455112328816,0.7916666666666666,0.44,0.00017075613141059875
persistent_positioned,episode,A,B,0.623689274239826,0.7416666666666667,0.40625,0.00020694732666015625
persistent_output,episode,A,B,0.5725357635512074,0.775,0.42857142857142855,0.0008277744054794312
prompt_history_excess,frame,frame_054,frame_057,0.5068376242049865,0.7,0.3333333333333333,0.09859124012291431
prompt_history_excess,frame,frame_054,frame_060,0.5078924550912374,0.6833333333333333,0.38461538461538464,0.10737142898142338
prompt_history_excess,frame,frame_054,frame_075,0.4329881447914221,0.6305555555555555,0.31386861313868614,0.1136889886111021
prompt_history_excess,frame,frame_054,frame_078,0.44426822489786716,0.6361111111111111,0.36363636363636365,0.11153998132795095
prompt_history_excess,frame,frame_054,frame_117,0.429550491830012,0.6583333333333333,0.3533834586466165,0.10869798716157675
prompt_history_excess,frame,frame_057,frame_060,0.6042383058711204,0.7055555555555556,0.44,0.0812487609218806
prompt_history_excess,frame,frame_057,frame_075,0.6132343337293558,0.7027777777777777,0.42857142857142855,0.08692924678325653
prompt_history_excess,frame,frame_057,frame_078,0.5733441842962663,0.7027777777777777,0.40625,0.09048309922218323
prompt_history_excess,frame,frame_057,frame_117,0.48717882765874104,0.675,0.38461538461538464,0.10208192467689514
