method,subject_consistency,background_consistency,temporal_flickering,motion_smoothness,overall_consistency,dynamic_degree,aesthetic_quality,imaging_quality,temporal_style
ours_middle10_reservoir2_multiscalemotion1,0.9732474483260283,0.9637402203984154,0.9615177698637926,0.9807572386270101,0.2348753820328663,0.7708333333333334,0.6268045670042436,0.7117218652665614,0.2348753820328663
ours_middle10_reservoir2_deficitquery1,0.9734350062376458,0.9639910089328333,0.9613732326128123,0.9805604126360704,0.2363582261838019,0.7625,0.6286767800649007,0.7133306128829717,0.2363582261838019
ours_middle10_reservoir2_deficitbaseline1,0.9728316411369046,0.9628403683150286,0.9600822917522948,0.9798457924600206,0.23586045744207998,0.7791666666666667,0.6241775693992774,0.7084932938367129,0.23586045744207998
