dataset_index,family_index,seed_replicate,variant,seed,declared_seed,reference_seed,state_count,record_count,path
133,13,0,scene,145013,145013,145013,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00133_v145_f13_s0_scene.pt
134,13,0,full_semantic,145013,145013,145013,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00134_v145_f13_s0_full_semantic.pt
135,13,1,base,155013,155013,155013,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00135_v145_f13_s1_base.pt
136,13,1,paraphrase,155013,155013,155013,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00136_v145_f13_s1_paraphrase.pt
137,13,1,identity,155013,155013,155013,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00137_v145_f13_s1_identity.pt
138,13,1,scene,155013,155013,155013,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00138_v145_f13_s1_scene.pt
139,13,1,full_semantic,155013,155013,155013,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00139_v145_f13_s1_full_semantic.pt
140,14,0,base,145014,145014,145014,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00140_v145_f14_s0_base.pt
141,14,0,paraphrase,145014,145014,145014,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00141_v145_f14_s0_paraphrase.pt
142,14,0,identity,145014,145014,145014,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00142_v145_f14_s0_identity.pt
143,14,0,scene,145014,145014,145014,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00143_v145_f14_s0_scene.pt
144,14,0,full_semantic,145014,145014,145014,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00144_v145_f14_s0_full_semantic.pt
145,14,1,base,155014,155014,155014,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00145_v145_f14_s1_base.pt
146,14,1,paraphrase,155014,155014,155014,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00146_v145_f14_s1_paraphrase.pt
147,14,1,identity,155014,155014,155014,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00147_v145_f14_s1_identity.pt
148,14,1,scene,155014,155014,155014,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00148_v145_f14_s1_scene.pt
149,14,1,full_semantic,155014,155014,155014,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00149_v145_f14_s1_full_semantic.pt
150,15,0,base,145015,145015,145015,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00150_v145_f15_s0_base.pt
151,15,0,paraphrase,145015,145015,145015,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00151_v145_f15_s0_paraphrase.pt
152,15,0,identity,145015,145015,145015,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00152_v145_f15_s0_identity.pt
153,15,0,scene,145015,145015,145015,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00153_v145_f15_s0_scene.pt
154,15,0,full_semantic,145015,145015,145015,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00154_v145_f15_s0_full_semantic.pt
155,15,1,base,155015,155015,155015,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00155_v145_f15_s1_base.pt
156,15,1,paraphrase,155015,155015,155015,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00156_v145_f15_s1_paraphrase.pt
157,15,1,identity,155015,155015,155015,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00157_v145_f15_s1_identity.pt
158,15,1,scene,155015,155015,155015,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00158_v145_f15_s1_scene.pt
159,15,1,full_semantic,155015,155015,155015,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00159_v145_f15_s1_full_semantic.pt
