dataset_index,family_index,seed_replicate,variant,seed,declared_seed,reference_seed,state_count,record_count,path
79,7,1,full_semantic,155007,155007,155007,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00079_v145_f07_s1_full_semantic.pt
80,8,0,base,145008,145008,145008,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00080_v145_f08_s0_base.pt
81,8,0,paraphrase,145008,145008,145008,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00081_v145_f08_s0_paraphrase.pt
82,8,0,identity,145008,145008,145008,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00082_v145_f08_s0_identity.pt
83,8,0,scene,145008,145008,145008,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00083_v145_f08_s0_scene.pt
84,8,0,full_semantic,145008,145008,145008,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00084_v145_f08_s0_full_semantic.pt
85,8,1,base,155008,155008,155008,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00085_v145_f08_s1_base.pt
86,8,1,paraphrase,155008,155008,155008,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00086_v145_f08_s1_paraphrase.pt
87,8,1,identity,155008,155008,155008,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00087_v145_f08_s1_identity.pt
88,8,1,scene,155008,155008,155008,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00088_v145_f08_s1_scene.pt
89,8,1,full_semantic,155008,155008,155008,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00089_v145_f08_s1_full_semantic.pt
90,9,0,base,145009,145009,145009,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00090_v145_f09_s0_base.pt
91,9,0,paraphrase,145009,145009,145009,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00091_v145_f09_s0_paraphrase.pt
92,9,0,identity,145009,145009,145009,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00092_v145_f09_s0_identity.pt
93,9,0,scene,145009,145009,145009,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00093_v145_f09_s0_scene.pt
94,9,0,full_semantic,145009,145009,145009,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00094_v145_f09_s0_full_semantic.pt
95,9,1,base,155009,155009,155009,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00095_v145_f09_s1_base.pt
96,9,1,paraphrase,155009,155009,155009,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00096_v145_f09_s1_paraphrase.pt
97,9,1,identity,155009,155009,155009,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00097_v145_f09_s1_identity.pt
98,9,1,scene,155009,155009,155009,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00098_v145_f09_s1_scene.pt
99,9,1,full_semantic,155009,155009,155009,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00099_v145_f09_s1_full_semantic.pt
100,10,0,base,145010,145010,145010,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00100_v145_f10_s0_base.pt
101,10,0,paraphrase,145010,145010,145010,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00101_v145_f10_s0_paraphrase.pt
