method,subject_consistency,background_consistency,temporal_flickering,motion_smoothness,overall_consistency,dynamic_degree,aesthetic_quality,imaging_quality,temporal_style
sf_native,0.9685984788575973,0.9610408193253099,0.9680359574490123,0.9821764504943566,0.233174064848572,0.6416666666666667,0.6158847879618407,0.6890198522607486,0.233174064848572
ours_middle10_reservoir2_directionmatch1,0.9716564262453047,0.9622491634888612,0.9609940138186501,0.9805155047413192,0.23678277851237606,0.7708333333333334,0.6275762517005206,0.7077115601946911,0.23678277851237606
ours_middle10_reservoir2_dirstaletie003,0.9714318625914893,0.9625832354923508,0.9609759650413509,0.9807050849241866,0.23712233093877633,0.75,0.6310773051033417,0.7038616713285447,0.23712233093877633
ours_middle10_reservoir2_dirstaletie005,0.9721211192489198,0.9629719032453682,0.9616945205502265,0.9807799714592365,0.2360610162994514,0.7666666666666667,0.6342771475513777,0.7099500210334857,0.2360610162994514
ours_middle10_reservoir2_directionfresh1,0.9721883374850399,0.9627688305591876,0.9608282360473493,0.980317017042991,0.23866446889005602,0.7625,0.625305354843537,0.7130753431121508,0.23866446889005602
ours_middle10_reservoir2_statemotionpair1_reference,0.97233211856123,0.963606876700508,0.9620602162172592,0.9805527522840101,0.23839101628400386,0.7625,0.6247199922800064,0.7094325329413017,0.23839101628400386
