method,prompt_index,sample_index,video,decoded_frames,retained_frames,flow_transition_count,fps,duration_seconds,frame_step,sample_interval_seconds,analysis_width,analysis_height,raw_motion_ndps_median,global_motion_ndps_median,residual_motion_ndps_median,residual_motion_p90_ndps_median,residual_transition_active_fraction,residual_active_area_fraction_mean,late_residual_motion_ratio,longest_low_residual_run_fraction,residual_accel_outlier_fraction,camera_motion_fraction_median,camera_fit_valid_fraction,camera_fit_inlier_fraction_median,camera_fit_error_nd_median,residual_energy_concentration_mean,residual_direction_entropy_mean
landmark_all_recent,15,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/landmark_all_recent/000015-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.014661969100480229,0.011406670495077412,0.012585545615563194,0.03366201132188645,1.0,0.6099440277141549,1.0213527916698708,0.0,0.10344827586206896,0.49153260269971416,1.0,0.930921052631579,0.006366889811999454,0.5631242281298721,0.8351045780230998
landmark_all_recent,19,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/landmark_all_recent/000019-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.007930144096724894,0.005051233741172863,0.005490151897464631,0.03997529791162083,0.9661016949152542,0.35549424888341724,0.25620420228824076,0.0,0.05172413793103448,0.4648910618260381,1.0,0.8601973684210527,0.0026862002125197654,0.7912364321032647,0.595818011130384
landmark_all_recent,23,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/landmark_all_recent/000023-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.02976646951384611,0.02137475471621804,0.02708411206596315,0.05985917894140297,1.0,0.8671552908841045,1.0249244821166448,0.0,0.05172413793103448,0.4516754986758061,1.0,0.9703947368421053,0.01366718973773039,0.44331260885836277,0.8283567865983978
landmark_all_recent,27,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/landmark_all_recent/000027-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.007372966584861026,0.007190262387664173,0.001715943957094065,0.00408686935393846,0.0,0.005194167286990381,1.3566036429611477,0.03389830508474576,0.034482758620689655,0.8117534866340844,1.0,0.9424342105263158,0.0008734520376182115,0.5067739143769421,0.22569564900601802
landmark_all_recent,31,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/landmark_all_recent/000031-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.006138036117070223,0.0049123168667800044,0.006327761544076711,0.027007076079697732,0.9322033898305084,0.3400517672068255,0.4689763108663912,0.0,0.017241379310344827,0.4375465375756453,1.0,0.8634868421052632,0.003119279618890391,0.7673805080315093,0.7743611975550677
landmark_horizon_shift_top10,3,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/landmark_horizon_shift_top10/000003-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.0008482252725322623,0.0007848883046152555,0.0008210174747239942,0.002497978950934731,0.0,0.026010650480989463,1.561953735762505,0.2542372881355932,0.10344827586206896,0.45851000372546347,1.0,0.8930921052631579,0.0003980041714935109,0.7533225682968022,0.14272755397262876
landmark_horizon_shift_top10,7,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/landmark_horizon_shift_top10/000007-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.0019167724153167425,0.0025145811977274604,0.0039484088122739396,0.03623034037612939,1.0,0.34182908411589563,0.8581841119193505,0.0,0.017241379310344827,0.4049409120409003,1.0,0.7861842105263158,0.001938283320549689,0.6940525815375197,0.6697124285592535
landmark_horizon_shift_top10,11,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/landmark_horizon_shift_top10/000011-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.011276289771638335,0.011412495241698111,0.016868032447465417,0.04928479697695112,1.0,0.6583418031378836,1.219660006136957,0.0,0.05172413793103448,0.45671380744626683,1.0,0.9144736842105263,0.00824197338516503,0.5233407991791622,0.6993831256297909
landmark_horizon_shift_top10,15,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/landmark_horizon_shift_top10/000015-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.020483384619971366,0.01373684216897247,0.014717978224026094,0.03612947261558455,1.0,0.7145493944686211,1.0171307018336382,0.0,0.05172413793103448,0.48820779371544837,1.0,0.9539473684210527,0.007500829259620969,0.4747189924932545,0.8666335266908448
landmark_horizon_shift_top10,19,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/landmark_horizon_shift_top10/000019-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.009721069986089929,0.008513572660389334,0.007305769026543297,0.052394704670924844,1.0,0.45257923442510306,0.817778881642059,0.0,0.08620689655172414,0.494548345086678,1.0,0.8207236842105263,0.0035923755138404243,0.7584017221484809,0.6159463691901309
landmark_horizon_shift_top10,23,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/landmark_horizon_shift_top10/000023-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.02715031864437754,0.017732968489720967,0.025177634368047774,0.06062844304431204,1.0,0.8545673421037563,0.8011575867474126,0.0,0.05172413793103448,0.39971456700651525,1.0,0.9654605263157895,0.01254871723552644,0.4628520789445765,0.8382350470360794
landmark_horizon_shift_top10,27,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/landmark_horizon_shift_top10/000027-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.01845869865417329,0.01730347716943625,0.004042754631270969,0.008387905958008384,0.4067796610169492,0.18707054512139254,6.299656607838871,0.01694915254237288,0.13793103448275862,0.761857399750149,1.0,0.962171052631579,0.0020224046376404086,0.49957046165069346,0.3886933296780103
landmark_horizon_shift_top10,31,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/landmark_horizon_shift_top10/000031-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.007677603999423905,0.004731371439688662,0.007722293705334816,0.03730907389620434,1.0,0.4348056179855702,1.2655985235172091,0.0,0.05172413793103448,0.42543972938418756,1.0,0.8519736842105263,0.0037657092130718786,0.7314462947554801,0.8109021272933906
landmark_horizon_top10,3,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/landmark_horizon_top10/000003-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.0006904949389891728,0.000554352575910394,0.0006641600567822875,0.001569860064995633,0.0,0.0020358845338983053,1.9679778665848449,0.3220338983050847,0.034482758620689655,0.4335945683149109,1.0,0.9391447368421053,0.0003289998078062501,0.568110317802538,0.057395924794803835
landmark_horizon_top10,7,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/landmark_horizon_top10/000007-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.006082828538157611,0.0050446080985245495,0.005732342739555514,0.038563437141984395,1.0,0.39536555557146125,0.7854790576917823,0.0,0.05172413793103448,0.43253570246048145,1.0,0.8322368421052632,0.002793880846544563,0.636050342190651,0.7166660226563235
landmark_horizon_top10,11,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/landmark_horizon_top10/000011-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.017329073375278538,0.011484218173307102,0.012543235992621174,0.04027556584519749,1.0,0.6099909993415025,0.9672813755874615,0.0,0.034482758620689655,0.47023355361149566,1.0,0.9210526315789473,0.0060916275302813705,0.5321398378973948,0.6986942441146613
landmark_horizon_top10,15,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/landmark_horizon_top10/000015-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.018257637604247208,0.013582475111671613,0.013881203745304264,0.037411509724088604,1.0,0.6648261244560237,0.8316479533415625,0.0,0.017241379310344827,0.47279402241614427,1.0,0.9276315789473685,0.007024422196899933,0.5558229511825818,0.8367287708788924
